Angle,Notch,Mean Distance
30,2,92.25
30,4,169.33
30,7,297
30,9,419.75
35,2,73.67
35,4,164
35,7,302.75
35,9,422.75
40,2,83.2
40,4,154.67
40,7,304.75
40,9,369.75
45,2,68.25
45,4,154
45,7,286.75
45,9,376.25
50,2,65.75
50,4,156.75
50,7,
50,9,
55,2,47.75
55,4,128.5
55,7,241.25
55,9,334.33
60,2,43.67
60,4,111.25
60,7,
60,9,
65,2,33.25
65,4,92
65,7,178
65,9,240.67
70,2,23
70,4,74.6
70,7,
70,9,
75,2,25
75,4,69.75
75,7,101.33
75,9,149.4
